issuerid,l_syns
53,"['Норникель', 'Nornickel ', 'ПАО ""ГМК ""Норильский никель""', 'GMKN RX', 'Публичное акционерное общество ""Горно-металлургическая компания ""Норильский никель""', 'ПАО ""Горно-металлургическая компания ""Норильский никель""', 'Норильский никель', 'GMKN']"
54,"['Публичное акционерное общество ""Городские Инновационные Технологии""', 'GRNT', 'ПАО «Городские Инновационные Технологии', 'ПАО ""ГИТ""', 'ГИТ', 'Городские Инновационные Технологии']"
55,"['Rollman', 'RLMN', 'Публичное акционерное общество ""Группа Компаний""Роллман""', 'Роллман']"
56,"['публичное акционерное общество ""Группа компаний ""Самолет""', 'Самолет', 'группа самолет', 'SMLT RX', 'Samolet', 'SMLT']"
57,"['Публичное акционерное общество ""Группа ЛСР""', 'ЛСР', 'LSRG RX', 'LSRG']"
58,"['Публичное акционерное общество ""Группа Черкизово""', 'GCHE RX ', 'Cherkizovo', 'Черкизово', 'GCHE']"
59,"['Dagestanskaya Energosbytovaya', 'ДагСб', 'Дагестанэнергосбыт', 'DASB', 'Публичное акционерное общество ""Дагестанская энергосбытовая компания""']"
60,"['DVEC', 'ДЭК', 'Дальневосточная энергетическая компания', 'Публичное акционерное общество ""Дальневосточная энергетическая компания""']"
61,"['Дальневосточное морское пароходство', 'ДВМП', 'FESCO', 'FESH', 'Публичное акционерное общество ""Дальневосточное морское пароходство""']"
62,"['Детмир', 'Публичное акционерное общество ""Детский мир""', 'DSKY RX', 'Detsky Mir', 'Детский мир', 'DSKY']"
63,"['Публичное акционерное общество ""ДжиТиЭл""', 'GTL', 'ДжиТиЭл', 'GTLC ']"
64,"['EELT', 'Европейская Электротехника', 'Публичное акционерное общество ""Европейская Электротехника""', 'Yevropyeyskaya Elyektrotyekhnika']"
65,"['Публичное акционерное общество ""Завод имени И.А. Лихачева""', 'Завод имени И.А. Лихачева', 'ZILL', 'Завод имени Лихачёва ', 'ZIL', 'ЗИЛ']"
66,"['Звезда', 'Публичное акционерное общество ""ЗВЕЗДА""', 'ZVEZDA', 'ZVEZ']"
67,"['IGST', 'Публичное акционерное общество ""Ижсталь""', 'Ижсталь', ""Izhstal'"", 'Ижевский металлургический завод']"
68,"['инвест-девелопмент', 'invest-development', 'IDVP', 'Публичное акционерное общество ""ИНВЕСТ-ДЕВЕЛОПМЕНТ""']"
69,"['Публичное акционерное общество ""ИНВЕСТИЦИОННАЯ КОМПАНИЯ ИК РУСС-ИНВЕСТ""', 'Russ-Invest', 'RUSI', 'ИК Русс-Инвест ', 'Русс-Инвест ИК', 'Руссинвест', 'Russinvest ', 'Русс-Инвест']"
70,"['Ingr', 'Инград (ПАО)', 'ПАО Инград', 'Публичное акционерное общество ""ИНГРАД""', 'OPIN', 'INGR RX', 'Ingrad ', 'Инград', 'INGR']"
71,"['Публичное акционерное общество ""Институт Стволовых Клеток Человека""', 'ISKJ', 'Институт Стволовых Клеток Человека', 'ИСКЧ']"
72,"['Интер РАО ЕЭС Финанс', 'Inter Rao', 'Публичное акционерное общество ""Интер РАО ЕЭС""', 'Интер РАО ', 'IRAO RX', 'IRAO']"
73,"['Калужская СбытКомп', 'Kalujskaya Sbytovaya', 'Калужская сбытовая компания', 'КСК', 'КЛСБ', 'KLSB', 'Публичное акционерное общество ""Калужская сбытовая компания""']"
74,"['Камаз', 'Kamaz ', 'Публичное акционерное общество ""КАМАЗ""', 'KMAZ RX', 'KMAZ']"
75,"['KUNF', 'Кузоцм', 'Kuzocm', 'Публичное акционерное общество ""Каменск-Уральский завод по обработке цветных металлов""']"
76,"['пао квадра', 'Публичное акционерное общество ""Квадра - Генерирующая компания""', 'квадра', 'TGKD', 'quadra', 'АО Квадра']"
77,"['ПАО КМЗ', 'KMEZ', 'Ковровский мехзд', 'Ковровский механический завод', 'kvmz', 'публичное акционерное общество ""Ковровский механический завод""']"
78,"['ПАО кокс', 'Публичное акционерное общество ""Кокс""', 'KSGR', 'koks', 'кокс']"
79,"['Корпорация ВСМПО-АВИСМА', 'ВСМПО-АВИСМА', 'публичное акционерное общество ""Корпорация ВСМПО-АВИСМА""', 'ВСМПО-АВСМ', 'ВСМПО', 'VSMPO-AVISMA', 'VSMPO-AVISMA Corporation', 'VSMO']"
80,"['Korgok', 'Коршуновский гок', 'KOGK', 'Korshunov Mining Plant', 'Публичное акционерное общество ""Коршуновский горно-обогатительный комбинат""']"
81,"['Косогорский металлургический завод', 'ПАО КМЗ', 'Публичное акционерное общество ""Косогорский металлургический завод""', 'KMTZ', 'KGIW']"
82,"['Kostromskaya sbytovaya kompaniya', 'KTSB', 'Костромская сбытовая компания', 'Публичное акционерное общество ""Костромская сбытовая компания""', 'КСК', 'KSK']"
83,"['Rosset', 'КЗМС', 'Россет', 'Краснокамский завод металлических сеток', 'KZMS', 'Публичное акционерное общество ""Краснокамский завод металлических сеток""']"
84,"['krsk-sbit', 'Красноярскэнергосбыт', 'KRSB', 'Публичное акционерное общество ""Красноярскэнергосбыт""']"
85,"['KTK', 'KBTK', 'Публичное акционерное общество ""Кузбасская Топливная Компания""', 'ПАО КТК', 'Кузбасская топливная компания', 'КТК']"
86,"['Куйбазот', 'Публичное акционерное общество ""КуйбышевАзот""', 'KAZT', 'kuazot', 'КуйбышевАзот']"
87,"['KGK', 'Kurgancskaya Generiruyushaya', 'Курганская генерирующая компания', 'Публичное акционерное общество ""Курганская генерирующая компания""', 'KGKC', 'ПАО КГК', 'КГК', 'Курганская ГК']"
88,"['Мвидео', 'Mvideo', 'MVID RX', 'Публичное акционерное общество ""М.видео""', 'MVID']"
89,"['Magnit ', 'ПАО Магнит', 'Публичное акционерное общество ""Магнит""', 'Mgnt ', 'Магнит ', 'MGNT RX', 'Магнит ПАО', 'MGNT']"
90,"['Магнитка', 'Публичное акционерное общество ""Магнитогорский металлургический комбинат""', 'Магнитогорский металлургический комбинат', 'ММК', 'MAGN RX', 'Magnitigorskiy Metallurgicheskiy', 'MAGN']"
91,"['MFON RX', 'Megafon', 'ПАО Мегафон', 'Публичное акционерное общество ""МегаФон""', 'Мегафон', 'Мегафон ПАО', 'MFON']"
92,"['ODVA', 'Публичное акционерное общество ""Медиахолдинг""']"
93,"['Публичное акционерное общество ""Международный Медицинский Центр Обработки и Криохранения Биоматериалов""', 'GEMA']"
94,"['MRKZ', 'Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Северо-Запада""']"
95,"['MRKP', 'Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра и Приволжья""']"
96,"['Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра""', 'MRKC']"
97,"['MERF', 'Публичное акционерное общество ""МЕРИДИАН""']"
98,"['MTKB', 'Публичное акционерное общество ""МЕТКОМБАНК""']"
99,"['mechel', 'MTLR RX', 'мечел', 'mtlrp', 'Публичное акционерное общество ""Мечел""', 'MTLR']"
100,"['Публичное акционерное общество ""Мобильные ТелеСистемы""', 'MTSS RX', 'МТС', 'MTC', 'MTSS']"
101,"['Публичное акционерное общество ""Мордовская энергосбытовая компания""', 'MRSB']"
102,"['MORI', 'Публичное акционерное общество ""Морион""']"
103,"['Московская биржа', 'Мосбиржа', 'MOEX RX', 'Публичное акционерное общество ""Московская Биржа ММВБ-РТС""', 'MOEX']"
104,"['MGTS RX ', 'Публичное акционерное общество ""Московская городская телефонная сеть""', 'MGTS']"
105,"['Публичное акционерное общество ""Московская кондитерская фабрика ""Красный Октябрь""', 'KROT', 'KROTP']"
106,"['Публичное акционерное общество ""МОСТОТРЕСТ""', 'мостотрест']"
107,"['Публичное акционерное общество ""Наука-Связь""', 'NSVZ', 'наука-связь']"
108,"['публичное акционерное общество ""Научно-производственная корпорация ""Иркут""', 'IRKT RX', 'IRKT']"
109,"['UWGN RX', 'Объединенная Вагонная Компания', 'Публичное акционерное общество ""Научно-производственная корпорация ""Объединенная Вагонная Компания""', 'UWGN']"
110,"['нефаз', 'NFAZ', 'Нефтекамский автозавод', 'Публичное акционерное общество ""Нефтекамский автозавод""']"
111,"['LKOH RX', 'ЛУКОЙЛ', 'Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ""', 'LKOH']"
112,"['публичное акционерное общество ""Нефтяная компания ""Роснефть""', 'роснефть', 'rosneft', 'ROSN RX', 'ROSN']"
113,"['Публичное Акционерное Общество ""Нижнекамскнефтехим""', 'Нижнекамскнефтехим', 'NKNC']"
114,"['Публичное акционерное общество ""Нижнекамскшина""', 'NKSH', 'Нижнекамскшина']"
115,"['Novatek', 'Новатэк', 'NVTK RX', 'публичное акционерное общество ""НОВАТЭК""', 'NVTK']"
116,"['Публичное акционерное общество ""Новолипецкий металлургический комбинат""', 'NLMK RX', 'НЛМК', 'NLMK']"
117,"['Публичное акционерное общество ""Новороссийский комбинат хлебопродуктов""', 'нкхп', 'новороссийский комбинат хлебопродуктов', 'NKHP']"
118,"['Публичное акционерное общество ""Новороссийский морской торговый порт""', 'nmtp', 'новороссийский морской торговый порт', 'нмтп', 'NMTP', 'новороссийский морской порт']"
119,"['новошип', 'Публичное акционерное общество ""Новороссийское морское пароходство""', 'nompp', 'новороссийское морское пароходство']"
120,"['ПАО ОАК', 'объединенная авиастроительная корпорация', 'Публичное акционерное общество ""Объединенная авиастроительная корпорация""', 'UNAC RX', 'ПАО ""ОАК""', 'UNAC']"
121,"['Публичное акционерное общество ""Объединенные Кредитные Системы""', 'Кредитные системы', 'UCSS', 'Объединенные Кредитные Системы']"
122,"['ОДК Сатурн', 'Сатурн', 'ОДК_Сатурн', 'Публичное акционерное общество ""ОДК-Сатурн""', 'SATR', 'ОДК-Сатурн']"
123,"['ORUP', 'ПАО ОР', 'Публичное акционерное общество ""ОР""', 'ОР ГРУПП']"
124,"['Публичное акционерное общество ""Павловский автобус""', 'paza', 'ПавлБус', 'Павловский автобус', 'Павл Автобус']"
125,"['ПЕРМЭНЕРГОСБЫТ', 'Публичное акционерное общество ""Пермская энергосбытовая компания""', 'Пермская энергосбытовая компания', 'PMSB']"
126,"['ПИК СЗ', 'Публичное акционерное общество ""ПИК-специализированный застройщик""', 'PIKK RX', 'PIKK']"
127,"['Публичное акционерное общество ""Полюс""', 'PLZL RX', 'Полюс', 'PLZL']"
128,"['Энергия', 'РКК Энергия', 'Публичное акционерное общество ""Ракетно-космическая корпорация ""Энергия"" имени С.П. Королёва""', 'RKKE', 'РКК «Энергия»']"
129,"['Публичное акционерное общество ""Распадская""', 'Распадская', 'RASP RX ', 'ПАО «Распадская»', 'RASP']"
130,"['Публичное акционерное общество ""РБК""', 'RBCM', 'ГК «РосБизнесКонсалтинг»', 'РосБизнесКонсалтинг', 'Рос Бизнес Консалтинг']"
131,"['Публичное акционерное общество ""РН-Западная Сибирь""', 'CHGZ', 'РН-Западная Сибирь']"
132,"['РГС Банк', 'RGSC', 'Публичное акционерное общество ""Росгосстрах Банк""', 'Банк Росгосстрах', 'Росгосстрах Банк', 'Росгосстрах']"
133,"['Публичное акционерное общество ""РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ""', 'РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ', 'Rosinter', 'ROST', 'РОСИНТЕР']"
134,"['Публичное акционерное общество ""Россети Волга""', 'Россети Волга', 'mrkv']"
135,"['kube', 'Публичное акционерное общество ""Россети Кубань""', 'Россети Кубань']"
136,"['Россети Ленэнерго', 'Публичное акционерное общество ""Россети Ленэнерго""', 'LSNG', 'lsng']"
137,"['Россети Московский регион', 'MSRS', 'Публичное акционерное общество ""Россети Московский регион""']"
138,"['MRKK', 'Публичное акционерное общество ""Россети Северный Кавказ""', 'Россети Северный Кавказ']"
139,"['Публичное акционерное общество ""Россети Сибирь""', 'MRKS', 'Россети Сибирь']"
140,"['MRKY', 'Публичное акционерное общество ""Россети Юг""']"
141,"['Российские сети', 'RSTI RX', 'Публичное акционерное общество ""Российские сети""', 'RSTI']"
142,"['ростелеком', 'RTKM RX', 'Публичное акционерное общество ""Ростелеком""', 'RTKM']"
143,"['RUGR', 'Публичное акционерное общество ""Русгрэйн Холдинг""']"
144,"['Публичное акционерное общество ""Русолово""', 'ROLO']"
145,"['RUSP', 'Публичное акционерное общество ""Русполимет""']"
146,"['Публичное акционерное общество ""Рязанская энергетическая сбытовая компания""', 'RZSB']"
147,"['Публичное акционерное общество ""Саратовский нефтеперерабатывающий завод""', 'KRKNP', 'KRKN']"
148,"['Саратовэнерго', 'SARE', 'Публичное акционерное общество ""Саратовэнерго""']"
149,"['Публичное акционерное общество ""САФМАР Финансовые инвестиции""', 'SFIN RX', 'SFIN']"
150,"['Публичное акционерное общество ""Сбербанк России""', 'SBER RX', 'Sber', 'сбербанк ', 'Sberbank', 'сбер', 'SBER']"
151,"['Группа светофор', 'SVET', 'Светофор Групп', 'Публичное акционерное общество ""Светофор Групп""']"
152,"['северсталь', 'CHMF RX', 'Публичное акционерное общество ""Северсталь""', 'CHMF']"
153,"['селигдар', 'SELG', 'Публичное акционерное общество ""Селигдар""']"
154,"['Публичное Акционерное Общество ""Сибирский гостинец""', 'SIBG']"
155,"['Публичное акционерное общество ""Славнефть - Мегионнефтегаз""', 'MFGS']"
156,"['Публичное акционерное общество ""Славнефть-Ярославнефтеоргсинтез""', 'JNOS', 'JNOSP']"
157,"['Публичное акционерное общество ""Современный коммерческий флот""', 'совкомфлот', 'FLOT RX', 'FLOT']"
158,"['sollers', 'SVAV RX', 'соллерс', 'Публичное акционерное общество ""СОЛЛЕРС""', 'северсталь-авто', 'SVAV']"
159,"['Публичное акционерное общество ""Ставропольэнергосбыт""', 'STSB']"
160,"['SNGS RX', 'сургутнефтегаз', 'Публичное акционерное общество ""Сургутнефтегаз""', 'SNGS']"
161,"['ткз ""Красный котельщик""', 'Публичное акционерное общество ""Таганрогский котлостроительный завод ""Красный котельщик""', 'Красный котельщик ', 'Krasny Kotelshchik', 'PJSC Krasny Kotelshchik', 'ткз Красный котельщик', 'KRKOP']"
162,"['Публичное акционерное общество ""Тамбовская энергосбытовая компания""', 'TASB', 'Тамбовская энергосбытовая компания', 'Тамбовэнергосбыт', 'TASBP']"
163,"['Татнефть', 'TATN RX', 'Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина', 'Tatneft', 'TATN']"
164,"['Публичное акционерное общество ""Таттелеком""', 'TTLK', 'Таттелеком', 'tattelecom']"
165,"['TGK-14', 'ТГК-14', 'TGC-14', 'TGKN', 'Публичное акционерное общество ""Территориальная генерирующая компания № 14""']"
166,"['TGK-1', 'ТГК-1', 'TGC-1', 'Публичное акционерное общество ""Территориальная генерирующая компания №1""', 'TGKA']"
167,"['TGK-2', 'ТГК-2', 'Публичное акционерное общество ""Территориальная генерирующая компания №2""', 'TGC-2', 'TGKB']"
168,"['Публичное акционерное общество ""ТНС энерго Воронеж""', 'VRSB', 'ТНС энерго Воронеж', 'VRSBP']"
169,"['KBSB', 'ТНС энерго Кубань', 'KBSBP', 'Публичное акционерное общество ""ТНС энерго Кубань""']"
170,"['MISBP', 'ТНС энерго Марий Эл', 'Публичное акционерное общество ""ТНС энерго Марий Эл""', 'MISB']"
171,"['NNSB', 'NNSBP', 'Публичное акционерное общество ""ТНС энерго Нижний Новгород""', 'ТНС энерго Нижний Новгород', 'ТНС энерго Нижний Новг']"
172,"['RTSBP', 'ТНС энерго Ростов', 'RTSB', 'Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""', 'ТНС энерго Ростов-на-Дону']"
173,"['ТНС энерго Ярославль', 'Публичное акционерное общество ""ТНС энерго Ярославль""', 'YRSB', 'YRSBP']"
174,"['Публичное акционерное общество ""Томская распределительная компания""', 'Россети Томск', 'TORS', 'ТРК', 'Томская распределительная компания']"
175,"['TRNFP RX', 'Публичное акционерное общество ""Транснефть""', 'transneft', 'Транснефть', 'TRNFP']"
176,"['ТрансФин', 'transfin', 'Публичное акционерное общество ""ТрансФин-М""']"
177,"['TRMK RX', 'OAO TMK', 'Трубная Металлургическая Компания', 'Публичное акционерное общество ""Трубная Металлургическая Компания""', 'ТМК', 'TMK', 'TRMK']"
178,"['ПАО ТЗА', 'Туймазинский завод автобетоновозов', 'ПАО «ТЗА»', 'Публичное акционерное общество ""Туймазинский завод автобетоновозов""', 'тза', 'не TZA -- есть американский тикер']"
179,"['Публичное акционерное общество ""Тучковский комбинат строительных материалов""', 'Тучковский КСМ', 'ТКСМ', 'TUCH']"
180,"['Публичное акционерное общество ""Угольная компания ""Южный Кузбасс""', 'Южный Кузбасс', 'Southern Kuzbass Coal Company', 'ПАО Южный Кузбасс', 'UKUZ', 'ПАО «Южный Кузбасс»']"
181,"['arsagera(не встречал упоминаний)', 'ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""АРСАГЕРА""', 'ARSA', 'Арсагера']"
182,"['uralkali', 'Уралкалий', 'URKA', 'URKA RX', 'Публичное акционерное общество ""Уралкалий""', 'URKA']"
183,"['Публичное акционерное общество ""Уральская кузница""', 'Urals Stampings Plant', 'URKZ', 'Уральская кузница']"
184,"['ПАО Фармсинтез', 'Публичное акционерное общество ""Фармсинтез""', 'LIFE', 'Фарм-синтез', 'Pharmsynthez', 'Фармсинтез']"
185,"['Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""', 'RusHydro', 'ПАО РусГидро', 'HYDR RX', 'Русгидро', 'HYDR']"
186,"['Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""', 'ПАО ФСК ЕЭС', 'FEES RX', 'Россети ФСК ЕЭС', 'AO FGC UES', 'ФСК ЕЭС', 'ПАО Россети', 'FEES']"
187,"['Фосагро', 'PHOR RX', 'Phosagro', 'Публичное акционерное общество ""ФосАгро""', 'PHOR']"
188,"['Химпром', 'ПАО Химпром', 'himprom', 'Публичное акционерное общество ""Химпром""']"
189,"['WTC', 'Центр международной торговли', 'Публичное акционерное общество ""Центр международной торговли""', 'ЦМТ', 'World trade center']"
190,"['Трансконтейнер', 'Transcontainer', 'Публичное акционерное общество ""Центр по перевозке грузов в контейнерах ""ТрансКонтейнер""', 'TRCN RX', 'ПАО Трансконейнер', 'TRCN']"
191,"['Центральный телеграф', 'Публичное акционерное общество ""Центральный телеграф""', 'Central Telegraph', 'ПАО Центральный телеграф']"
192,"['Публичное акционерное общество ""Челябинский завод профилированного стального настила""', 'ПАО ЧЗПСН-Профнастил', 'Челябинский завод профилированного стального настила', 'PRFN', 'ЧЗПСН-Профнастил']"
193,"['ПАО Челябинский кузнечно-прессовый завод', 'OAO Chelyabinsk Forge-and-Press Plant', 'ЧКПЗ', 'Публичное акционерное общество ""Челябинский кузнечно-прессовый завод""']"
194,"['Chelyabinsk Metallurgical Plant', 'Публичное акционерное общество ""Челябинский металлургический комбинат""', 'ПАО ЧМК', 'ChMK', 'ЧМК', 'Челябинский металлургический комбинат']"
195,"['ЧТПЗ', 'ПАО ЧТПЗ', 'CHEP RX', 'Chelyabinsk Pipe Rolling Plant', 'Публичное акционерное общество ""Челябинский трубопрокатный завод""', 'Челябинский трубопрокатный завод', 'CHEP']"
196,"['Электроцинк', 'ПАО Электроцинк', 'Electrozink', 'ELTZ', 'Публичное акционерное общество ""Электроцинк""']"
197,"['elfv', 'Enel Russia', 'ENRU RX', 'Публичное акционерное общество ""Энел Россия""', 'Энел Россия', 'ПАО Энел Россия', 'ENRU']"
198,"['Комбинат Южуралникель', 'ПАО Комбинат Южуралникель', 'Южуралникель', 'Unickel', 'Публичное акционерное общество ""Южно-Уральский никелевый комбинат""', 'UNKL']"
199,"['Юнипро', 'UPRO RX', 'ПАО Юнипро', 'Публичное акционерное общество ""Юнипро""', 'unipro', 'UPRO']"
200,"['ПАО Якутская топливно-энергетическая компания', 'Якутская топливно-энергетическая компания', 'ЯТЭК', 'Публичное акционерное общество ""Якутская топливно-энергетическая компания""', 'Yatec']"
201,"['Якутскэнерго', 'ПАО Якутскэнерго', 'Yakutskenergo', 'Публичное акционерное общество ""Якутскэнерго""']"
202,"['ПАО Банк Возрождение', 'Публичное акционерное общество Банк ""Возрождение""', 'Vozrozhdenie Bank', 'Банк Возрождение ']"
203,"['kuzbank', 'Банк Кузнецкий', 'ПАО Банк Кузнецкий', 'Публичное акционерное общество Банк ""Кузнецкий""']"
204,"['Сегежа групп', 'SGZH RX', 'Публичное акционерное общество Группа компаний ""Сегежа""', 'сегежа', 'segezha', 'Segezha Group', 'SGZH']"
205,"['ПАО ГК ТНС энерго', 'Публичное акционерное общество Группа компаний ""ТНС энерго""', 'TNS energo', 'ТНС энерго']"
206,"['Диод', 'DIOD Plant of Ecological Technics and Ecomeals', 'Завод экологической техники и экопитания Диод', 'ПАО Диод ', 'Публичное акционерное общество Завод экологической техники и экопитания ""ДИОД""']"
207,"['Публичное акционерное общество МОСКОВСКИЙ ОБЛАСТНОЙ БАНК', 'MOBB']"
