issuerid;l_syns
15;"['Открытое акционерное общество ""Левенгук""', 'LVHK', 'levenhuk', 'Левенгук']"
16;"['Липецкая ЭСК', 'Открытое акционерное общество ""Липецкая энергосбытовая компания""', 'lesk', 'LPSBG', 'LPSB', 'ЛЭСК', 'Липецкая энергосбытовая компания']"
17;"['MRKU', 'Россети Урал', 'МРСК Урала', 'Межрегиональная распределительная сетевая компания Урала', 'rosseti ural', 'Открытое акционерное общество ""Межрегиональная распределительная сетевая компания Урала""']"
18;"['Мультисистема', 'MSST', 'Открытое акционерное общество ""Мультисистема""', 'multisistema']"
19;"['NPOF', 'Открытое акционерное общество ""Научно-производственное объединение ""Физика""', 'НПО Физика', 'Научно-производственное объединение ""Физика""', 'npofizika', 'НПО ""Физика""']"
20;"['MGNZG', 'ОАО СМЗ', 'Открытое акционерное общество ""Соликамский магниевый завод""', 'ОАО ""СМЗ""', 'Соликамский магниевый завод', 'MGNZ']"
21;"['inarctica', 'AQUA', 'Русская Аквакультура', 'Инарктика', 'Русское море', 'Инаркт1Р1', 'Публичноеакционерное общество ""Русская Аквакультура""']"
22;"['abraudurso', 'Публичное акционерное общество ""Абрау – Дюрсо""', 'ABRD', 'Абрау – Дюрсо', 'Абрау Дюрсо']"
23;"['Публичное акционерное общество ""Авиакомпания ""ЮТэйр""', 'UTAR']"
24;"['AKRN RX', 'акрон', 'Acron', 'Публичное акционерное общество ""Акрон""']"
25;"['Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""', 'BANE RX']"
26;"['Система', 'АФК Система', 'Публичное акционерное общество ""Акционерная финансовая корпорация ""Система""', 'AFKS RX']"
27;"['ALNU RX', 'Алроса', 'Alrosa', 'Публичное акционерное общество ""АЛРОСА-Нюрба""']"
28;"['Публичное акционерное общество ""Аптечная сеть 36,6""', 'APTK RX']"
29;"['ACKO', 'Публичное акционерное общество ""АСКО-СТРАХОВАНИЕ""']"
30;"['Публичное акционерное общество ""Астраханская энергосбытовая компания""', 'ASSB', 'Астраханская ЭСБ']"
31;"['AMEZ', 'Публичное акционерное общество ""Ашинский металлургический завод""']"
32;"['Публичное акционерное общество ""Аэрофлот – российские авиалинии""', 'Аэрофлот', 'Aeroflot', 'AFLT RX']"
33;"['Банк Петербург', 'БСПБ', 'ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ""', 'BSPB RX', 'Банк Санкт-Петербург', 'СПБ Банк']"
34;"['Публичное акционерное общество ""БАНК УРАЛСИБ""', 'USBN']"
35;"['BISV', 'Публичное акционерное общество ""Башинформсвязь""']"
36;"['BELU RX', 'Белуга', 'Beluga', 'Публичное акционерное общество ""Белуга Групп""']"
37;"['ALBK', 'Публичное акционерное общество ""Бест Эффортс Банк""']"
38;"['BRZL', 'Публичное акционерное общество ""Бурятзолото""']"
39;"['Публичное акционерное общество ""Варьеганнефтегаз""', 'VJGZ']"
40;"['Публичное акционерное общество ""Владимирский химический завод""']"
41;"['Публичное акционерное общество ""Волгоградэнергосбыт""']"
42;"['OGKB', 'Публичное акционерное общество ""Вторая генерирующая компания оптового рынка электроэнергии""']"
43;"['Публичное акционерное общество ""Выборгский судостроительный завод""']"
44;"['GAZA', 'Публичное акционерное общество ""ГАЗ""', 'группа ГАЗ', 'группа ""ГАЗ""', 'ПАО ""Газ""', 'ПАО Газ']"
45;"['GAZC', 'газкон', 'газкон-ао', 'Публичное акционерное общество ""ГАЗКОН""']"
46;"['RTGZ', 'rostovoblgaz', 'Публичное акционерное общество ""Газпром газораспределение Ростов-на-Дону""', 'Газпром РнД', 'ПАО ""Газпром газораспределение Ростов-на-Дону""', 'Ростовоблгаз']"
47;"['Газпром нефть', 'ПАО ""Газпром нефть""', 'SIBN RX', 'Публичное акционерное общество ""Газпром нефть""', 'Gazprom Neft']"
48;"['Gazprom', 'ПАО ""Газпром""', 'GAZP RX', 'gazp', 'Публичное акционерное общество ""Газпром""', 'Газпром']"
49;"['GAZS', 'Публичное акционерное общество ""ГАЗ-сервис""', 'gas-service', 'ПАО ""ГАЗ-сервис""']"
50;"['газ-тэк', 'gaz-tec', 'gazt', 'Публичное акционерное общество ""ГАЗ-Тек""']"
51;"['геотек', 'Публичное акционерное общество ""ГЕОТЕК Сейсморазведка""', 'gseis', 'GTSS', 'ПАО «ГЕОТЕК Сейсморазведка»']"
52;"['GTRK', 'Globaltruck', 'Глобалтрак', 'Публичное акционерное общество ""ГЛОБАЛТРАК МЕНЕДЖМЕНТ""']"
53;"['GMKN RX', 'Норильский никель', 'Nornickel ', 'Публичное акционерное общество ""Горно-металлургическая компания ""Норильский никель""', 'ПАО ""ГМК ""Норильский никель""', 'Норникель', 'ПАО ""Горно-металлургическая компания ""Норильский никель""']"
54;"['GRNT', 'ПАО ""ГИТ""', 'Публичное акционерное общество ""Городские Инновационные Технологии""', 'ГИТ', 'Городские Инновационные Технологии', 'ПАО «Городские Инновационные Технологии']"
55;"['Роллман', 'RLMN', 'Публичное акционерное общество ""Группа Компаний""Роллман""', 'Rollman']"
56;"['Samolet', 'группа самолет', 'Самолет', 'SMLT RX', 'публичное акционерное общество ""Группа компаний ""Самолет""']"
57;"['Публичное акционерное общество ""Группа ЛСР""', 'ЛСР', 'LSRG RX']"
58;"['Черкизово', 'GCHE RX ', 'Cherkizovo', 'Публичное акционерное общество ""Группа Черкизово""']"
59;"['Публичное акционерное общество ""Дагестанская энергосбытовая компания""', 'Дагестанэнергосбыт', 'Dagestanskaya Energosbytovaya', 'DASB', 'ДагСб']"
60;"['DVEC', 'Дальневосточная энергетическая компания', 'Публичное акционерное общество ""Дальневосточная энергетическая компания""', 'ДЭК']"
61;"['ДВМП', 'Дальневосточное морское пароходство', 'FESCO', 'FESH', 'Публичное акционерное общество ""Дальневосточное морское пароходство""']"
62;"['Публичное акционерное общество ""Детский мир""', 'DSKY RX', 'Detsky Mir', 'Детский мир', 'Детмир']"
63;"['GTL', 'GTLC ', 'Публичное акционерное общество ""ДжиТиЭл""', 'ДжиТиЭл']"
64;"['Европейская Электротехника', 'Публичное акционерное общество ""Европейская Электротехника""', 'EELT', 'Yevropyeyskaya Elyektrotyekhnika']"
65;"['Завод имени И.А. Лихачева', 'Публичное акционерное общество ""Завод имени И.А. Лихачева""', 'ЗИЛ', 'Завод имени Лихачёва ', 'ZIL', 'ZILL']"
66;"['ZVEZ', 'Звезда', 'ZVEZDA', 'Публичное акционерное общество ""ЗВЕЗДА""']"
67;"['IGST', 'Ижевский металлургический завод', ""Izhstal'"", 'Публичное акционерное общество ""Ижсталь""', 'Ижсталь']"
68;"['инвест-девелопмент', 'IDVP', 'invest-development', 'Публичное акционерное общество ""ИНВЕСТ-ДЕВЕЛОПМЕНТ""']"
69;"['Публичное акционерное общество ""ИНВЕСТИЦИОННАЯ КОМПАНИЯ ИК РУСС-ИНВЕСТ""', 'Russ-Invest', 'Русс-Инвест ИК', 'Руссинвест', 'RUSI', 'Russinvest ', 'ИК Русс-Инвест ', 'Русс-Инвест']"
70;"['OPIN', 'Инград', 'Инград (ПАО)', 'Публичное акционерное общество ""ИНГРАД""', 'INGR RX', 'ПАО Инград', 'Ingrad ', 'Ingr']"
71;"['ISKJ', 'Публичное акционерное общество ""Институт Стволовых Клеток Человека""', 'Институт Стволовых Клеток Человека', 'ИСКЧ']"
72;"['Inter Rao', 'IRAO RX', 'Интер РАО ЕЭС Финанс', 'Публичное акционерное общество ""Интер РАО ЕЭС""', 'Интер РАО ']"
73;"['Kalujskaya Sbytovaya', 'КСК', 'КЛСБ', 'Калужская сбытовая компания', 'Калужская СбытКомп', 'KLSB', 'Публичное акционерное общество ""Калужская сбытовая компания""']"
74;"['Kamaz ', 'Публичное акционерное общество ""КАМАЗ""', 'Камаз', 'KMAZ RX']"
75;"['Публичное акционерное общество ""Каменск-Уральский завод по обработке цветных металлов""', 'KUNF', 'Kuzocm', 'Кузоцм']"
76;"['quadra', 'квадра', 'пао квадра', 'АО Квадра', 'TGKD', 'Публичное акционерное общество ""Квадра - Генерирующая компания""']"
77;"['Ковровский механический завод', 'ПАО КМЗ', 'KMEZ', 'kvmz', 'публичное акционерное общество ""Ковровский механический завод""', 'Ковровский мехзд']"
78;"['Публичное акционерное общество ""Кокс""', 'KSGR', 'кокс', 'koks', 'ПАО кокс']"
79;"['ВСМПО-АВСМ', 'VSMPO-AVISMA', 'публичное акционерное общество ""Корпорация ВСМПО-АВИСМА""', 'Корпорация ВСМПО-АВИСМА', 'VSMPO-AVISMA Corporation', 'VSMO', 'ВСМПО', 'ВСМПО-АВИСМА']"
80;"['KOGK', 'Публичное акционерное общество ""Коршуновский горно-обогатительный комбинат""', 'Korshunov Mining Plant', 'Коршуновский гок', 'Korgok']"
81;"['Косогорский металлургический завод', 'Публичное акционерное общество ""Косогорский металлургический завод""', 'ПАО КМЗ', 'KMTZ', 'KGIW']"
82;"['КСК', 'KTSB', 'KSK', 'Публичное акционерное общество ""Костромская сбытовая компания""', 'Kostromskaya sbytovaya kompaniya', 'Костромская сбытовая компания']"
83;"['КЗМС', 'KZMS', 'Rosset', 'Краснокамский завод металлических сеток', 'Публичное акционерное общество ""Краснокамский завод металлических сеток""', 'Россет']"
84;"['Красноярскэнергосбыт', 'KRSB', 'krsk-sbit', 'Публичное акционерное общество ""Красноярскэнергосбыт""']"
85;"['KTK', 'КТК', 'KBTK', 'Кузбасская топливная компания', 'Публичное акционерное общество ""Кузбасская Топливная Компания""', 'ПАО КТК']"
86;"['Куйбазот', 'КуйбышевАзот', 'Публичное акционерное общество ""КуйбышевАзот""', 'kuazot', 'KAZT']"
87;"['KGKC', 'КГК', 'Kurgancskaya Generiruyushaya', 'KGK', 'ПАО КГК', 'Курганская ГК', 'Публичное акционерное общество ""Курганская генерирующая компания""', 'Курганская генерирующая компания']"
88;"['MVID RX', 'Mvideo', 'Мвидео', 'Публичное акционерное общество ""М.видео""']"
89;"['MGNT RX', 'Mgnt ', 'Публичное акционерное общество ""Магнит""', 'Magnit ', 'Магнит ', 'ПАО Магнит', 'Магнит ПАО']"
90;"['Магнитогорский металлургический комбинат', 'Публичное акционерное общество ""Магнитогорский металлургический комбинат""', 'Магнитка', 'MAGN RX', 'ММК', 'Magnitigorskiy Metallurgicheskiy']"
91;"['Мегафон', 'Публичное акционерное общество ""МегаФон""', 'ПАО Мегафон', 'Megafon', 'Мегафон ПАО', 'MFON RX']"
92;"['Публичное акционерное общество ""Медиахолдинг""', 'ODVA']"
93;"['GEMA', 'Публичное акционерное общество ""Международный Медицинский Центр Обработки и Криохранения Биоматериалов""']"
94;"['Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Северо-Запада""', 'MRKZ']"
95;"['MRKP', 'Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра и Приволжья""']"
96;"['MRKC', 'Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра""']"
97;"['Публичное акционерное общество ""МЕРИДИАН""', 'MERF']"
98;"['Публичное акционерное общество ""МЕТКОМБАНК""', 'MTKB']"
99;"['mtlrp', 'мечел', 'Публичное акционерное общество ""Мечел""', 'MTLR RX', 'mechel']"
100;"['MTSS RX', 'Публичное акционерное общество ""Мобильные ТелеСистемы""', 'MTC', 'МТС']"
101;"['Публичное акционерное общество ""Мордовская энергосбытовая компания""', 'MRSB']"
102;"['Публичное акционерное общество ""Морион""', 'MORI']"
103;"['Московская биржа', 'MOEX RX', 'Публичное акционерное общество ""Московская Биржа ММВБ-РТС""', 'Мосбиржа']"
104;"['Публичное акционерное общество ""Московская городская телефонная сеть""', 'MGTS RX ']"
105;"['Публичное акционерное общество ""Московская кондитерская фабрика ""Красный Октябрь""', 'KROT', 'KROTP']"
106;"['Публичное акционерное общество ""МОСТОТРЕСТ""', 'мостотрест']"
107;"['наука-связь', 'Публичное акционерное общество ""Наука-Связь""', 'NSVZ']"
108;"['публичное акционерное общество ""Научно-производственная корпорация ""Иркут""', 'IRKT RX']"
109;"['UWGN RX', 'Публичное акционерное общество ""Научно-производственная корпорация ""Объединенная Вагонная Компания""', 'Объединенная Вагонная Компания']"
110;"['Нефтекамский автозавод', 'нефаз', 'NFAZ', 'Публичное акционерное общество ""Нефтекамский автозавод""']"
111;"['LKOH RX', 'ЛУКОЙЛ', 'Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ""']"
112;"['роснефть', 'rosneft', 'публичное акционерное общество ""Нефтяная компания ""Роснефть""', 'ROSN RX']"
113;"['Публичное Акционерное Общество ""Нижнекамскнефтехим""', 'NKNC', 'Нижнекамскнефтехим']"
114;"['Публичное акционерное общество ""Нижнекамскшина""', 'Нижнекамскшина', 'NKSH']"
115;"['публичное акционерное общество ""НОВАТЭК""', 'NVTK RX', 'Новатэк', 'Novatek']"
116;"['НЛМК', 'NLMK RX', 'Публичное акционерное общество ""Новолипецкий металлургический комбинат""']"
117;"['нкхп', 'новороссийский комбинат хлебопродуктов', 'Публичное акционерное общество ""Новороссийский комбинат хлебопродуктов""', 'NKHP']"
118;"['nmtp', 'нмтп', 'новороссийский морской торговый порт', 'новороссийский морской порт', 'NMTP', 'Публичное акционерное общество ""Новороссийский морской торговый порт""']"
119;"['новошип', 'новороссийское морское пароходство', 'nompp', 'Публичное акционерное общество ""Новороссийское морское пароходство""']"
120;"['ПАО ""ОАК""', 'ПАО ОАК', 'объединенная авиастроительная корпорация', 'Публичное акционерное общество ""Объединенная авиастроительная корпорация""', 'UNAC RX']"
121;"['Объединенные Кредитные Системы', 'Публичное акционерное общество ""Объединенные Кредитные Системы""', 'UCSS', 'Кредитные системы']"
122;"['Публичное акционерное общество ""ОДК-Сатурн""', 'ОДК-Сатурн', 'Сатурн', 'ОДК Сатурн', 'ОДК_Сатурн', 'SATR']"
123;"['ПАО ОР', 'ORUP', 'Публичное акционерное общество ""ОР""', 'ОР ГРУПП']"
124;"['Публичное акционерное общество ""Павловский автобус""', 'Павл Автобус', 'ПавлБус', 'Павловский автобус', 'paza']"
125;"['Пермская энергосбытовая компания', 'Публичное акционерное общество ""Пермская энергосбытовая компания""', 'PMSB', 'ПЕРМЭНЕРГОСБЫТ']"
126;"['ПИК СЗ', 'PIKK RX', 'Публичное акционерное общество ""ПИК-специализированный застройщик""']"
127;"['Публичное акционерное общество ""Полюс""', 'PLZL RX', 'Полюс']"
128;"['Энергия', 'RKKE', 'РКК «Энергия»', 'Публичное акционерное общество ""Ракетно-космическая корпорация ""Энергия"" имени С.П. Королёва""', 'РКК Энергия']"
129;"['RASP RX ', 'ПАО «Распадская»', 'Распадская', 'Публичное акционерное общество ""Распадская""']"
130;"['Рос Бизнес Консалтинг', 'RBCM', 'Публичное акционерное общество ""РБК""', 'РосБизнесКонсалтинг', 'ГК «РосБизнесКонсалтинг»']"
131;"['РН-Западная Сибирь', 'CHGZ', 'Публичное акционерное общество ""РН-Западная Сибирь""']"
132;"['Банк Росгосстрах', 'Публичное акционерное общество ""Росгосстрах Банк""', 'Росгосстрах', 'RGSC', 'РГС Банк', 'Росгосстрах Банк']"
133;"['Rosinter', 'Публичное акционерное общество ""РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ""', 'РОСИНТЕР', 'ROST', 'РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ']"
134;"['Публичное акционерное общество ""Россети Волга""', 'Россети Волга', 'mrkv']"
135;"['kube', 'Россети Кубань', 'Публичное акционерное общество ""Россети Кубань""']"
136;"['LSNG', 'Россети Ленэнерго', 'lsng', 'Публичное акционерное общество ""Россети Ленэнерго""']"
137;"['Россети Московский регион', 'MSRS', 'Публичное акционерное общество ""Россети Московский регион""']"
138;"['MRKK', 'Публичное акционерное общество ""Россети Северный Кавказ""', 'Россети Северный Кавказ']"
139;"['Россети Сибирь', 'Публичное акционерное общество ""Россети Сибирь""', 'MRKS']"
140;"['MRKY', 'Публичное акционерное общество ""Россети Юг""']"
141;"['Российские сети', 'Публичное акционерное общество ""Российские сети""', 'RSTI RX']"
142;"['Публичное акционерное общество ""Ростелеком""', 'ростелеком', 'RTKM RX']"
143;"['Публичное акционерное общество ""Русгрэйн Холдинг""', 'RUGR']"
144;"['ROLO', 'Публичное акционерное общество ""Русолово""']"
145;"['Публичное акционерное общество ""Русполимет""', 'RUSP']"
146;"['RZSB', 'Публичное акционерное общество ""Рязанская энергетическая сбытовая компания""']"
147;"['KRKNP', 'Публичное акционерное общество ""Саратовский нефтеперерабатывающий завод""', 'KRKN']"
148;"['Публичное акционерное общество ""Саратовэнерго""', 'Саратовэнерго', 'SARE']"
149;"['Публичное акционерное общество ""САФМАР Финансовые инвестиции""', 'SFIN RX']"
150;"['Sberbank', 'Публичное акционерное общество ""Сбербанк России""', 'SBER RX', 'сбербанк ', 'сбер', 'Sber']"
151;"['Светофор Групп', 'Публичное акционерное общество ""Светофор Групп""', 'Группа светофор', 'SVET']"
152;"['CHMF RX', 'Публичное акционерное общество ""Северсталь""', 'северсталь']"
153;"['Публичное акционерное общество ""Селигдар""', 'селигдар', 'SELG']"
154;"['SIBG', 'Публичное Акционерное Общество ""Сибирский гостинец""']"
155;"['Публичное акционерное общество ""Славнефть - Мегионнефтегаз""', 'MFGS']"
156;"['Публичное акционерное общество ""Славнефть-Ярославнефтеоргсинтез""', 'JNOS', 'JNOSP']"
157;"['FLOT RX', 'Публичное акционерное общество ""Современный коммерческий флот""', 'совкомфлот']"
158;"['северсталь-авто', 'SVAV RX', 'sollers', 'соллерс', 'Публичное акционерное общество ""СОЛЛЕРС""']"
159;"['STSB', 'Публичное акционерное общество ""Ставропольэнергосбыт""']"
160;"['Публичное акционерное общество ""Сургутнефтегаз""', 'сургутнефтегаз', 'SNGS RX']"
161;"['ткз Красный котельщик', 'Красный котельщик ', 'Krasny Kotelshchik', 'Публичное акционерное общество ""Таганрогский котлостроительный завод ""Красный котельщик""', 'KRKOP', 'PJSC Krasny Kotelshchik', 'ткз ""Красный котельщик""']"
162;"['TASBP', 'Публичное акционерное общество ""Тамбовская энергосбытовая компания""', 'Тамбовэнергосбыт', 'Тамбовская энергосбытовая компания', 'TASB']"
163;"['Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина', 'TATN RX', 'Татнефть', 'Tatneft']"
164;"['Публичное акционерное общество ""Таттелеком""', 'TTLK', 'tattelecom', 'Таттелеком']"
165;"['Публичное акционерное общество ""Территориальная генерирующая компания № 14""', 'TGC-14', 'ТГК-14', 'TGK-14', 'TGKN']"
166;"['ТГК-1', 'TGKA', 'TGK-1', 'TGC-1', 'Публичное акционерное общество ""Территориальная генерирующая компания №1""']"
167;"['TGKB', 'Публичное акционерное общество ""Территориальная генерирующая компания №2""', 'TGK-2', 'ТГК-2', 'TGC-2']"
168;"['ТНС энерго Воронеж', 'Публичное акционерное общество ""ТНС энерго Воронеж""', 'VRSBP', 'VRSB']"
169;"['ТНС энерго Кубань', 'KBSBP', 'KBSB', 'Публичное акционерное общество ""ТНС энерго Кубань""']"
170;"['MISB', 'MISBP', 'Публичное акционерное общество ""ТНС энерго Марий Эл""', 'ТНС энерго Марий Эл']"
171;"['ТНС энерго Нижний Новг', 'NNSB', 'NNSBP', 'ТНС энерго Нижний Новгород', 'Публичное акционерное общество ""ТНС энерго Нижний Новгород""']"
172;"['ТНС энерго Ростов-на-Дону', 'ТНС энерго Ростов', 'RTSBP', 'Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""', 'RTSB']"
173;"['YRSBP', 'YRSB', 'ТНС энерго Ярославль', 'Публичное акционерное общество ""ТНС энерго Ярославль""']"
174;"['Томская распределительная компания', 'TORS', 'Публичное акционерное общество ""Томская распределительная компания""', 'Россети Томск', 'ТРК']"
175;"['Транснефть', 'TRNFP RX', 'Публичное акционерное общество ""Транснефть""', 'transneft']"
176;"['Публичное акционерное общество ""ТрансФин-М""', 'ТрансФин', 'transfin']"
177;"['TMK', 'TRMK RX', 'OAO TMK', 'Публичное акционерное общество ""Трубная Металлургическая Компания""', 'ТМК', 'Трубная Металлургическая Компания']"
178;"['Туймазинский завод автобетоновозов', 'ПАО ТЗА', 'Публичное акционерное общество ""Туймазинский завод автобетоновозов""', 'тза', 'ПАО «ТЗА»', 'не TZA -- есть американский тикер']"
179;"['Тучковский КСМ', 'TUCH', 'Публичное акционерное общество ""Тучковский комбинат строительных материалов""', 'ТКСМ']"
180;"['ПАО «Южный Кузбасс»', 'Публичное акционерное общество ""Угольная компания ""Южный Кузбасс""', 'Southern Kuzbass Coal Company', 'ПАО Южный Кузбасс', 'Южный Кузбасс', 'UKUZ']"
181;"['arsagera(не встречал упоминаний)', 'ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""АРСАГЕРА""', 'Арсагера', 'ARSA']"
182;"['URKA', 'URKA RX', 'Уралкалий', 'uralkali', 'Публичное акционерное общество ""Уралкалий""']"
183;"['Публичное акционерное общество ""Уральская кузница""', 'Уральская кузница', 'URKZ', 'Urals Stampings Plant']"
184;"['Публичное акционерное общество ""Фармсинтез""', 'Фармсинтез', 'Pharmsynthez', 'ПАО Фармсинтез', 'Фарм-синтез', 'LIFE']"
185;"['RusHydro', 'ПАО РусГидро', 'Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""', 'Русгидро', 'HYDR RX']"
186;"['ФСК ЕЭС', 'Россети ФСК ЕЭС', 'FEES RX', 'AO FGC UES', 'Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""', 'ПАО ФСК ЕЭС', 'ПАО Россети']"
187;"['Phosagro', 'PHOR RX', 'Публичное акционерное общество ""ФосАгро""', 'Фосагро']"
188;"['himprom', 'Публичное акционерное общество ""Химпром""', 'Химпром', 'ПАО Химпром']"
189;"['WTC', 'ЦМТ', 'Центр международной торговли', 'Публичное акционерное общество ""Центр международной торговли""', 'World trade center']"
190;"['Трансконтейнер', 'TRCN RX', 'Публичное акционерное общество ""Центр по перевозке грузов в контейнерах ""ТрансКонтейнер""', 'ПАО Трансконейнер', 'Transcontainer']"
191;"['ПАО Центральный телеграф', 'Центральный телеграф', 'Central Telegraph', 'Публичное акционерное общество ""Центральный телеграф""']"
192;"['PRFN', 'ПАО ЧЗПСН-Профнастил', 'Челябинский завод профилированного стального настила', 'ЧЗПСН-Профнастил', 'Публичное акционерное общество ""Челябинский завод профилированного стального настила""']"
193;"['ЧКПЗ', 'ПАО Челябинский кузнечно-прессовый завод', 'OAO Chelyabinsk Forge-and-Press Plant', 'Публичное акционерное общество ""Челябинский кузнечно-прессовый завод""']"
194;"['Chelyabinsk Metallurgical Plant', 'Публичное акционерное общество ""Челябинский металлургический комбинат""', 'Челябинский металлургический комбинат', 'ПАО ЧМК', 'ЧМК', 'ChMK']"
195;"['Челябинский трубопрокатный завод', 'CHEP RX', 'Chelyabinsk Pipe Rolling Plant', 'Публичное акционерное общество ""Челябинский трубопрокатный завод""', 'ЧТПЗ', 'ПАО ЧТПЗ']"
196;"['ELTZ', 'Электроцинк', 'Electrozink', 'ПАО Электроцинк', 'Публичное акционерное общество ""Электроцинк""']"
197;"['Enel Russia', 'ПАО Энел Россия', 'Энел Россия', 'elfv', 'ENRU RX', 'Публичное акционерное общество ""Энел Россия""']"
198;"['Комбинат Южуралникель', 'Публичное акционерное общество ""Южно-Уральский никелевый комбинат""', 'ПАО Комбинат Южуралникель', 'Unickel', 'Южуралникель', 'UNKL']"
199;"['UPRO RX', 'unipro', 'Юнипро', 'Публичное акционерное общество ""Юнипро""', 'ПАО Юнипро']"
200;"['ЯТЭК', 'Якутская топливно-энергетическая компания', 'ПАО Якутская топливно-энергетическая компания', 'Публичное акционерное общество ""Якутская топливно-энергетическая компания""', 'Yatec']"
201;"['Якутскэнерго', 'Yakutskenergo', 'ПАО Якутскэнерго', 'Публичное акционерное общество ""Якутскэнерго""']"
202;"['Публичное акционерное общество Банк ""Возрождение""', 'Vozrozhdenie Bank', 'ПАО Банк Возрождение', 'Банк Возрождение ']"
203;"['Публичное акционерное общество Банк ""Кузнецкий""', 'Банк Кузнецкий', 'ПАО Банк Кузнецкий', 'kuzbank']"
204;"['Segezha Group', 'SGZH RX', 'Сегежа групп', 'сегежа', 'Публичное акционерное общество Группа компаний ""Сегежа""', 'segezha']"
205;"['TNS energo', 'ПАО ГК ТНС энерго', 'Публичное акционерное общество Группа компаний ""ТНС энерго""', 'ТНС энерго']"
206;"['Публичное акционерное общество Завод экологической техники и экопитания ""ДИОД""', 'Диод', 'ПАО Диод ', 'Завод экологической техники и экопитания Диод', 'DIOD Plant of Ecological Technics and Ecomeals']"
207;['MOBB', 'Публичное акционерное общество МОСКОВСКИЙ ОБЛАСТНОЙ БАНК']
208;"['Публичное акционерное общество Научно-производственное объединение ""Наука""', 'NAUK']"
209;"['RNFT', 'Публичное акционерное общество Нефтегазовая компания ""РуссНефть""']"
210;['Публичное акционерное общество Объединенные машиностроительные заводы (Группа Уралмаш-Ижора)', 'OMZZ']
211;['Публичное акционерное общество РОСБАНК', 'ROSB']
212;"['RGSS', 'Публичное акционерное общество Страховая Компания ""Росгосстрах""']"
213;"['Публичное акционерное общество энергетики и электрификации ""Камчатскэнерго""', 'KCHE']"
214;"['Публичное акционерное общество энергетики и электрификации ""Магаданэнерго""', 'MAGE']"
215;"['Публичное акционерное общество энергетики и электрификации ""Мосэнерго""', 'московская\xa0энергетическая компания', 'мосэнерго', 'MSNG']"
216;"['SAGO', 'самарэнерго', 'Публичное акционерное общество энергетики и электрификации ""Самараэнерго""']"
